folder,file,extent
2,2_3,"-49.92454, -23.50241, -49.92454, -23.50241"
2,2_4,"-65.78524, -28.46957, -65.78524, -28.46957"
2,2_5,"-71.0, -30.0, -71.0, -30.0"
2,2_6,"-58.4, -32.48333, -58.4, -32.48333"
2,2_7,"-55.0, -10.0, -55.0, -10.0"
2,4_9,"12.5, 6.0, 12.5, 6.0"
2,8_12,"28.85, -16.03333, 28.85, -16.03333"
2,14_8,"-159.78516, -21.24842, -159.78516, -21.24842"
2,14_9,"-157.81944, 21.30139, -157.81944, 21.30139"
2,10_14,"116.685, -31.62028, 116.685, -31.62028"
2,1_12,"35.83333, 33.83333, 35.83333, 33.83333"
2,1_11,"35.66667, 19.96667, 35.66667, 19.96667"
2,1_10,"34.8, 62.8, 34.8, 62.8"
2,14_6,"-170.0, 30.0, -170.0, 30.0"
2,10_11,"110.53333, -66.28583, 110.53333, -66.28583"
2,10_12,"119.53333, -20.35, 119.53333, -20.35"
2,10_13,"145.66667, -16.88333, 145.66667, -16.88333"
2,4_0,"-7.0, 18.88333, -7.0, 18.88333"
2,1_13,"34.79049, 32.064435, 34.79049, 32.064435"
2,0_10,"-72.59766, -8.05923, -72.59766, -8.05923"
2,0_11,"-95.19778, 17.84472, -95.19778, 17.84472"
2,0_12,"-44.86694, -1.82111, -44.86694, -1.82111"
2,0_13,"-66.302805, 16.891535, -61.97967, 18.463465"
2,0_14,"-77.2, 18.09167, -77.2, 18.09167"
2,8_8,"37.86667, -46.88333, 37.86667, -46.88333"
2,9_13,"75.63675, 35.33557, 75.63675, 35.33557"
2,9_12,"79.0, 22.0, 79.0, 22.0"
2,9_11,"98.9742, 25.727, 98.9742, 25.727"
2,9_10,"89.79713, 25.6805, 89.79713, 25.6805"
2,7_9,"174.28333, -41.73333, 174.28333, -41.73333"
2,7_8,"174.83167, -36.85472, 174.83167, -36.85472"
2,12_0,"-3.85121, 49.36175, -0.0972085714286, 54.68568"
2,12_1,"-23.25, 72.95, -23.25, 72.95"
2,12_2,"19.46136, 80.46482, 19.46136, 80.46482"
2,12_3,"19.208335, 42.458335, 19.208335, 42.458335"
2,12_5,"10.25, 36.63333, 10.25, 36.63333"
2,12_6,"11.1140633333, 45.14167, 20.50589, 52.114885"
2,12_7,"6.07757333333, 43.62724, 9.07519666667, 47.13917"
2,12_8,"33.25314, 69.19333, 33.25314, 69.19333"
2,12_9,"-6.251515, 53.327155, -6.251515, 53.327155"
2,8_1,"32.0, 0.5, 32.0, 0.5"
2,6_8,"-113.64258, 60.10867, -113.64258, 60.10867"
2,6_9,"-123.77886, 46.55128, -123.77886, 46.55128"
2,10_6,"143.53098, -37.10153, 143.53098, -37.10153"
2,10_7,"149.82605, -5.87833, 149.82605, -5.87833"
2,10_4,"137.13534, -21.34902, 137.13534, -21.34902"
2,10_5,"145.08366, -41.01991, 145.08366, -41.01991"
2,10_2,"150.0179, -34.8318, 150.0179, -34.8318"
2,10_0,"152.11035, -32.38784, 152.11035, -32.38784"
2,10_1,"146.0, -33.0, 146.0, -33.0"
2,7_5,"176.01021, -40.87827, 176.01021, -40.87827"
2,7_4,"167.75, -77.5, 167.75, -77.5"
2,7_7,"159.0, -79.88333, 159.0, -79.88333"
2,7_6,"177.37577, -16.96012, 177.37577, -16.96012"
2,7_1,"158.91312, -54.50873, 158.91312, -54.50873"
2,7_0,"160.91667, -76.91667, 160.91667, -76.91667"
2,10_8,"171.236, 7.113, 171.236, 7.113"
2,10_9,"140.7644, -33.66254, 140.7644, -33.66254"
2,4_1,"12.42563, -6.07746, 12.42563, -6.07746"
2,14_2,"-156.50028, 20.75028, -156.50028, 20.75028"
2,8_9,"-8.36667, -70.61667, -8.36667, -70.61667"
2,7_3,"173.11017, -41.29827, 173.11017, -41.29827"
2,14_3,"-172.13333, -13.8, -172.13333, -13.8"
2,7_2,"180.0, 0.0, 180.0, 0.0"
2,14_0,"-177.387, 28.228, -177.387, 28.228"
2,14_1,"-174.35, -19.76667, -174.35, -19.76667"
2,2_12,"-15.0, -45.0, -15.0, -45.0"
2,10_10,"125.36931, -9.10257, 125.36931, -9.10257"
2,2_10,"-57.65625, -14.60485, -57.65625, -14.60485"
2,2_11,"-70.0, -60.0, -70.0, -60.0"
2,2_14,"-69.63333, -44.68333, -69.63333, -44.68333"
2,14_7,"-157.85833, 21.30694, -157.85833, 21.30694"
2,11_13,"114.60938, 32.24997, 114.60938, 32.24997"
2,14_4,"-152.31068, -10.06318, -152.31068, -10.06318"
2,11_12,"116.83333, 51.25, 116.83333, 51.25"
2,14_5,"-150.0, -40.0, -150.0, -40.0"
2,8_5,"25.75, -25.0, 25.75, -25.0"
2,11_11,"121.45806, 31.22222, 121.45806, 31.22222"
2,11_10,"128.072035, 33.906345, 130.82448, 36.32253"
